佩雷斯塞莱东,佩雷斯泽内度
希雷迪亞諾,希尔迪奥诺
桑德尔斯南岸,圣达拉斯南海岸
蒙特雷,蒙特瑞
喀拉拉邦戈库拉姆,歌库拉姆喀拉拉
纽卡斯尔喷气机,纽卡斯托
西悉尼流浪者,西部悉尼流浪者
博洛尼亚,博洛尼亚
贝迪斯,皇家贝迪斯
毕尔包,毕尔巴鄂竞技
卡利亚里,卡利亚里
费伦迪纳,佛罗伦萨
阿森纳,阿森纳
利物浦,利物浦
西班牙人,爱斯宾奴
马德里竞技,马德里体育会
拉什特塞皮德罗德,拉什特
德黑兰石油,德黑兰
呼罗珊帕迪德,帕蒂德马斯哈德
加兹温箭头,派肯
奥霍德 （沙特阿拉伯）,奥赫麦地那
巴滕 （沙特阿拉伯）,巴腾
塞巴,塞帕
西普阿漢,沙巴罕
金奈巨人,清奈因
喀拉拉爆破手,克瑞拉巴拉斯特斯
神户胜利船（中）,神户胜利船
大阪樱花,大阪樱花
拉素,拉齐奥
克罗托内,克努托内
皇家马德里,皇家马德里
巴萨,巴塞罗那
埃弗顿,爱华顿
切尔西,切尔西
熱拿亞,热拿亚
班尼云度,班尼文托
乌甸尼斯,乌甸尼斯
海拉斯维罗纳,维罗纳
拿玻里,拿玻里
森多利亚,森多利亚
森索罗,萨索洛
国际米兰,国际米兰
士柏,史帕尔
拖连奴,都灵
史云斯,斯旺西城
水晶宫,水晶宫
史笃城,斯托克城
西布朗,西布朗
韦斯咸,西汉姆联
纽卡素,纽卡斯尔联
曼城,曼城
伯恩茅斯,伯恩茅斯
南安普顿,南安普敦
哈德斯菲尔德,哈德斯菲尔德
布莱顿&霍夫阿尔比恩,白礼顿
沃特福德,沃特福德
巴伦西亚,华伦西亚
维拉利尔,维拉利尔
AC 米兰,AC米兰
亚特兰大BC,阿特兰大
伯恩利,般尼
托特纳姆热刺,托特纳姆热刺
拉科鲁尼亚,拉科鲁尼亚
切尔达,切尔达
祖云达斯,尤文图斯
AS罗马,罗马
李斯特城,莱斯特城
曼联,曼联
奥斯曼里士邦,奥斯曼里士邦
阿克希萨尔,阿克希萨尔
瓦迪格拉,瓦迪戴加
铝阿赫利开罗,阿尔艾利开罗
比尔舒华夏普尔,比尔舒华夏普尔
海法马卡比,海法马卡比
科威特,科威特
阿曼,阿曼
开罗陆军,塔拉雅
里哈德（埃及）,伊蒂哈德亚历山大
艾藻尔,艾藻尔
密涅瓦学院,米勒瓦普甲比
拉斯彭马斯,拉斯彭马斯
伊巴,埃瓦尔
西维尔,塞维利亚
莱加内斯,雷加利斯
皇家苏斯达,皇家苏斯达
莱万特,利云特
艾拉维斯,艾拉维斯
China PR U23,中国 U23
Oman U23,阿曼 U23
布利斯托城,布里斯托城
莱里达体育俱乐部,利尔达
哈塔,哈塔
阿尔艾利(阿联酋),沙巴柏阿尔艾利杜拜
卡迪斯,卡迪斯
莫雷伦塞,摩里伦斯
波尔图,波图
明尼路,米内罗竞技
格拉斯哥流浪,格拉斯哥流浪
勒沃库森,利华古逊
拜仁慕尼黑,拜仁慕尼黑
史特拉斯堡,史特拉斯堡
吉英坎,甘冈
赫塔费,赫塔费
马拉加,马拉加
赫罗纳,赫罗纳
云达不莱梅,云达不莱梅
贺芬咸,贺芬咸
Stuttgart,斯图加特
Hertha Berlin,哈化柏林
法兰克福,法兰克福
弗雷堡,费雷堡
汉诺威,汉诺威96
美因茨,美因茨05
奥斯堡,奥斯堡
汉堡,汉堡
雷恩,雷恩
马赛,马赛
RB Leipzig,RB莱比锡
Schalke 04,沙尔克04
卡昂,卡昂
里尔,利尔
蒙彼利埃,蒙彼利埃
摩纳哥,摩纳哥
特鲁瓦,特鲁瓦
波尔多,波尔多
奈斯,奈斯
爱米恩斯,爱米恩斯
第戎,第戎
梅斯,梅斯
圣埃蒂安,圣埃蒂安
图鲁兹,图鲁兹
科隆,科隆
慕逊加柏,门兴格拉德巴赫
里昂,里昂
昂热,昂热
多蒙特,多特蒙德
Borussia Dortmund,多特蒙德
沃尔夫斯堡,沃尔夫斯堡
南特,南特
巴黎圣日耳曼,巴黎圣日门
斯图加特,斯图加特
莱比锡RB,RB莱比锡
Hannover 96,汉诺威96
Hoffenheim,贺芬咸
Werder Bremen,云达不莱梅
厄斯特松德,奧斯特桑斯
阿斯塔纳,艾斯坦拿
里斯本竞技,士砵亭
布拉加,布拉加
卢多戈雷茨,卢多格瑞特拉兹格勒
莫斯科火车头,莫斯科火车头
萨尔茨堡红牛,红牛萨尔斯堡
莫斯科斯巴达,莫斯科斯巴达
布加勒斯特星,布格勒斯特星队
柏迪逊贝尔格莱德,柏迪逊
比尔森胜利,皮尔森
些路迪,些路迪
圣彼德斯堡泽尼特,圣彼德斯堡泽尼特
AEK雅典BC,AEK雅典
基辅迪纳姆,基辅戴拿模
哥本哈根,哥本哈根
Mainz 05,美因茨05
比锡达斯,比锡达斯
萨克达,萨克达
Bayern Munich,拜仁慕尼黑
Bayer Leverkusen,利华古逊
